zip,Under 5 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female,Male,Total
10199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10280,284.0,30.0,84.0,0.0,0.0,184.0,272.0,485.0,624.0,434.0,397.0,274.0,503.0,291.0,71.0,97.0,78.0,71.0,99.0,41.0,76.0,0.0,4942.0,4610.0,9552.0,412.0
10282,77.0,67.0,0.0,0.0,0.0,0.0,240.0,381.0,467.0,404.0,188.0,117.0,250.0,0.0,37.0,0.0,43.0,20.0,0.0,0.0,0.0,27.0,2716.0,3014.0,5730.0,424.0
10301,1538.0,801.0,665.0,407.0,404.0,1074.0,1113.0,1329.0,1279.0,1383.0,1427.0,1351.0,1353.0,1233.0,318.0,673.0,269.0,591.0,638.0,376.0,324.0,143.0,19619.0,19590.0,39209.0,1446.0
10302,484.0,366.0,287.0,114.0,130.0,376.0,640.0,460.0,600.0,486.0,688.0,736.0,688.0,625.0,213.0,154.0,160.0,171.0,206.0,227.0,67.0,54.0,9123.0,9163.0,18286.0,614.0
10303,897.0,680.0,228.0,244.0,213.0,573.0,1060.0,741.0,659.0,832.0,972.0,893.0,861.0,785.0,248.0,320.0,155.0,282.0,286.0,102.0,77.0,20.0,12596.0,11337.0,23933.0,854.0
10304,1156.0,1058.0,657.0,400.0,482.0,954.0,1353.0,1460.0,1361.0,1076.0,1714.0,1477.0,1320.0,1137.0,692.0,790.0,387.0,427.0,739.0,272.0,314.0,233.0,22533.0,19711.0,42244.0,1420.0
10305,1065.0,708.0,367.0,324.0,197.0,848.0,1485.0,1365.0,1557.0,1475.0,1320.0,1353.0,1330.0,1335.0,633.0,733.0,442.0,530.0,774.0,458.0,413.0,315.0,21679.0,20116.0,41795.0,1280.0
10306,1819.0,942.0,695.0,260.0,427.0,952.0,1782.0,1653.0,1445.0,1954.0,2178.0,1322.0,2131.0,2033.0,892.0,1028.0,531.0,805.0,1148.0,640.0,464.0,429.0,28590.0,26349.0,54939.0,1458.0
10307,514.0,286.0,181.0,167.0,90.0,331.0,378.0,323.0,573.0,554.0,678.0,518.0,748.0,386.0,182.0,88.0,201.0,205.0,172.0,120.0,38.0,36.0,8007.0,7091.0,15098.0,470.0
10308,963.0,533.0,240.0,116.0,322.0,541.0,1080.0,897.0,682.0,936.0,1322.0,733.0,1328.0,1071.0,308.0,479.0,264.0,580.0,721.0,297.0,212.0,195.0,15205.0,14561.0,29766.0,563.0
