ZIP Code	Type	Common Cities	County	Area Codes
11430	Standard	Jamaica, Jf Kennedy Ap, Jfk Airport, John F Kenne...	Queens County	Area Code 718
11431	PO Box	Jamaica	Queens County	Area Code 212
11432	Standard	Jamaica	Queens County	Area Code 718
11433	Standard	Jamaica, Addisleigh Park, Addisleigh Pk	Queens County	Area Code 347
11434	Standard	Jamaica, Addisleigh Park, Addisleigh Pk, Rochdale...	Queens County	Area Code 516
11435	Standard	Jamaica, Briarwood	Queens County	Area Code 718
11436	Standard	Jamaica, S Ozone Park, South Ozone Park	Queens County	Area Code 718
11439	Unique	Jamaica	Queens County	Area Code 212
11451	Unique	Jamaica	Queens County	Area Code 212
11499	Unique	Jamaica	Queens County	Area Code 212
11501	Standard	Mineola	Nassau County	Area Code 516
11507	Standard	Albertson	Nassau County	Area Code 516
11509	Standard	Atlantic Beach, Atlantic Bch	Nassau County	Area Code 516
11510	Standard	Baldwin, N Baldwin, North Baldwin	Nassau County	Area Code 516
11514	Standard	Carle Place	Nassau County	Area Code 516
11516	Standard	Cedarhurst	Nassau County	Area Code 516
11518	Standard	East Rockaway	Nassau County	Area Code 516
11520	Standard	Freeport	Nassau County	Area Code 516
11530	Standard	Garden City, Garden City S, Garden City South, Stewar...	Nassau County	Area Code 631
11531	PO Box	Garden City	Nassau County	Area Code 516
11535	Unique	Garden City	Nassau County	Area Code 516
11536	Unique	Garden City, Select And Save	Nassau County	Area Code 516
11542	Standard	Glen Cove	Nassau County	Area Code 516
11545	Standard	Glen Head	Nassau County	Area Code 516
11547	PO Box	Glenwood Landing, Glenwood Lndg	Nassau County	Area Code 516
11548	Standard	Greenvale	Nassau County	Area Code 516
11549	Unique	Hempstead, Hofstra Univ	Nassau County	Area Code 516
11550	Standard	Hempstead, S Hempstead, South Hempstead	Nassau County	Area Code 516
11551	PO Box	Hempstead	Nassau County	Area Code 516
11552	Standard	West Hempstead, W Hempstead	Nassau County	Area Code 516
11553	Standard	Uniondale	Nassau County	Area Code 516
11554	Standard	East Meadow	Nassau County	Area Code 516
11555	Unique	Uniondale	Nassau County	Area Code 516
11556	Standard	Uniondale	Nassau County	Area Code 516
11557	Standard	Hewlett	Nassau County	Area Code 516
11558	Standard	Island Park	Nassau County	Area Code 516
11559	Standard	Lawrence	Nassau County	Area Code 516
11560	Standard	Locust Valley	Nassau County	Area Code 516
11561	Standard	Long Beach, E Atlantc Bch, E Atlantic Beach, East At...	Nassau County	Area Code 516
11563	Standard	Lynbrook	Nassau County	Area Code 516
11565	Standard	Malverne	Nassau County	Area Code 516
11566	Standard	Merrick, N Merrick, North Merrick	Nassau County	Area Code 516
11568	Standard	Old Westbury, Westbury	Nassau County	Area Code 516
11569	PO Box	Point Lookout	Nassau County	Area Code 516
11570	Standard	Rockville Centre, Rockville Ctr	Nassau County	Area Code 516
11571	PO Box	Rockville Centre, Rockville Ctr	Nassau County	Area Code 516
11572	Standard	Oceanside, Rockville Centre, Rockville Ctr	Nassau County	Area Code 516
11575	Standard	Roosevelt	Nassau County	Area Code 516
11576	Standard	Roslyn	Nassau County	Area Code 516
11577	Standard	Roslyn Heights, Roslyn Hts	Nassau County	Area Code 516
11579	Standard	Sea Cliff	Nassau County	Area Code 516
11580	Standard	Valley Stream	Nassau County	Area Code 516
11581	Standard	Valley Stream	Nassau County	Area Code 516
11582	PO Box	Valley Stream	Nassau County	Area Code 516
11590	Standard	Westbury	Nassau County	Area Code 516
11592	Unique	Rockville Center, Rvc, National Profit, Rockville Ctr, Roc...	Nassau County	Area Code 516
11594	Unique	Westbury, 115 Firms	Nassau County	Area Code 516
11595	Unique	Westbury, Cheeselovers	Nassau County	Area Code 516
11596	Standard	Williston Park, E Williston, East Williston, Williston P...	Nassau County	Area Code 516
11597	Unique	Westbury, 115 Crm Firms	Nassau County	Area Code 516
11598	Standard	Woodmere	Nassau County	Area Code 516
11599	Standard	Garden City	Nassau County	Area Code 516
11690	PO Box	Far Rockaway, Edgemere, Wave Crest	Queens County	Area Code 212
11691	Standard	Far Rockaway	Queens County	Area Code 347
11692	Standard	Arverne, Far Rockaway	Queens County	Area Code 347
11693	Standard	Far Rockaway, Broad Channel, Rockaway Beac, Rockaway B...	Queens County	Area Code 718
11694	Standard	Rockaway Park, Belle Harbor, Far Rockaway, Neponsit	Queens County	Area Code 718
11695	PO Box	Far Rockaway, Fort Tilden	Queens County	Area Code 212
11697	Standard	Breezy Point, Far Rockaway, Rockaway Point, Rockaway P...	Queens County	Area Code 212
11701	Standard	Amityville, Amity Harbor	Suffolk County	Area Code 516
11702	Standard	Babylon, Captree Is, Captree Island, Gilgo Beach,...	Suffolk County	Area Code 516
11703	Standard	North Babylon, Babylon	Suffolk County	Area Code 631
11704	Standard	West Babylon, Babylon	Suffolk County	Area Code 516
11705	Standard	Bayport	Suffolk County	Area Code 631
11706	Standard	Bay Shore, Fair Harbor, Kismet, Point O Woods, Salt...	Suffolk County	Area Code 631
11707	PO Box	West Babylon, Babylon	Suffolk County	Area Code 631
11708	Standard	Amityville	Suffolk County	Area Code 631
11709	Standard	Bayville	Nassau County	Area Code 516
11710	Standard	Bellmore, N Bellmore, North Bellmore	Nassau County	Area Code 516
11713	Standard	Bellport	Suffolk County	Area Code 631
11714	Standard	Bethpage	Nassau County	Area Code 516
11715	Standard	Blue Point	Suffolk County	Area Code 631
11716	Standard	Bohemia	Suffolk County	Area Code 631
11717	Standard	Brentwood, Edgewood, W Brentwood, West Brentwood	Suffolk County	Area Code 516
11718	Standard	Brightwaters	Suffolk County	Area Code 631
11719	Standard	Brookhaven	Suffolk County	Area Code 631
11720	Standard	Centereach, S Setauket, South Setauket	Suffolk County	Area Code 631
11721	Standard	Centerport	Suffolk County	Area Code 631
11722	Standard	Central Islip	Suffolk County	Area Code 516
11724	Standard	Cold Spring Harbor, Cold Spg Hbr	Suffolk County	Area Code 516
11725	Standard	Commack	Suffolk County	Area Code 631
11726	Standard	Copiague	Suffolk County	Area Code 631
11727	Standard	Coram	Suffolk County	Area Code 631
11729	Standard	Deer Park	Suffolk County	Area Code 631
11730	Standard	East Islip	Suffolk County	Area Code 631
11731	Standard	East Northport, E Northport, Elwood	Suffolk County	Area Code 631
11732	Standard	East Norwich	Nassau County	Area Code 516
11733	Standard	East Setauket, Setauket	Suffolk County	Area Code 516
11735	Standard	Farmingdale, S Farmingdale, South Farmingdale	Nassau County	Area Code 516
11736	Unique	Farmingdale	Nassau County	Area Code 516
11737	Standard	Farmingdale	Nassau County	Area Code 516
11738	Standard	Farmingville	Suffolk County	Area Code 631
11739	PO Box	Great River	Suffolk County	Area Code 631
11740	Standard	Greenlawn	Suffolk County	Area Code 631
11741	Standard	Holbrook	Suffolk County	Area Code 631
11742	Standard	Holtsville	Suffolk County	Area Code 631
11743	Standard	Huntington, Halesite, Lloyd Harbor	Suffolk County	Area Code 516
11746	Standard	Huntington Station, Dix Hills, Huntingtn Sta	Suffolk County	Area Code 631
11747	Standard	Melville, Huntingtn Sta, Huntington Station	Suffolk County	Area Code 631
11749	Standard	Islandia, Central Islip, Hauppauge, Ronkonkoma	Suffolk County	Area Code 516
11750	Unique	Huntington Station, Huntingtn Sta, Melville	Suffolk County	Area Code 631
11751	Standard	Islip	Suffolk County	Area Code 631
11752	Standard	Islip Terrace	Suffolk County	Area Code 631
11753	Standard	Jericho	Nassau County	Area Code 516
11754	Standard	Kings Park	Suffolk County	Area Code 631
11755	Standard	Lake Grove	Suffolk County	Area Code 631
11756	Standard	Levittown	Nassau County	Area Code 516
11757	Standard	Lindenhurst	Suffolk County	Area Code 516
11758	Standard	Massapequa, N Massapequa, North Massapequa	Nassau County	Area Code 631
11760	PO Box	Islandia	Suffolk County	Area Code 631
11762	Standard	Massapequa Park, Massapequa Pk	Nassau County	Area Code 516
11763	Standard	Medford	Suffolk County	Area Code 631
11764	Standard	Miller Place	Suffolk County	Area Code 631
11765	Standard	Mill Neck	Nassau County	Area Code 516
11766	Standard	Mount Sinai	Suffolk County	Area Code 516
11767	Standard	Nesconset	Suffolk County	Area Code 631
11768	Standard	Northport, Fort Salonga	Suffolk County	Area Code 631
11769	Standard	Oakdale	Suffolk County	Area Code 631
11770	PO Box	Ocean Beach	Suffolk County	Area Code 631
11771	Standard	Oyster Bay	Nassau County	Area Code 516
11772	Standard	Patchogue, Davis Park, E Patchogue, East Patchogue	Suffolk County	Area Code 631
11773	Unique	Syosset	Nassau County	Area Code 516
11774	Unique	Farmingdale, Fulfillment	Nassau County	Area Code 516
11775	Unique	Melville	Suffolk County	Area Code 631
